image_path,file_name,file_extension,status,error,file_size_mb,created_time,modified_time,Species,activity,filename_tokens,image_format,color_mode,width_px,height_px,aspect_ratio,has_exif,camera_make,camera_model,datetime_original,gps_info
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Umm Shujayrat.jpeg,Umm Shujayrat.jpeg,.jpeg,success,,0.453,2025-12-15 14:22:04.782165,2025-10-31 10:48:34,Flora And Fauna,Survey,Umm Shujayrat,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Umm Shujayrat_Terrain.jpeg,Umm Shujayrat_Terrain.jpeg,.jpeg,success,,0.496,2025-12-15 14:22:04.799811,2025-10-31 10:48:34,Flora And Fauna,Survey,"Umm Shujayrat, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Umm Shujayrat_Unsupervised.jpeg,Umm Shujayrat_Unsupervised.jpeg,.jpeg,success,,0.409,2025-12-15 14:22:04.818952,2025-10-31 10:48:34,Flora And Fauna,Survey,"Umm Shujayrat, Unsupervised",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Walih.jpeg,Walih.jpeg,.jpeg,success,,0.5,2025-12-15 14:22:04.838744,2025-10-31 10:48:34,Flora And Fauna,Survey,Walih,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Walih_Terrain.jpeg,Walih_Terrain.jpeg,.jpeg,success,,0.551,2025-12-15 14:22:04.893608,2025-10-31 10:48:34,Flora And Fauna,Survey,"Walih, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Walih_Unsupervised.jpeg,Walih_Unsupervised.jpeg,.jpeg,success,,0.454,2025-12-15 14:22:04.921469,2025-10-31 10:48:34,Flora And Fauna,Survey,"Walih, Unsupervised",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Yuba.jpeg,Yuba.jpeg,.jpeg,success,,0.49,2025-12-15 14:22:04.933267,2025-10-31 10:48:34,Flora And Fauna,Survey,Yuba,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Yuba_Terrain.jpeg,Yuba_Terrain.jpeg,.jpeg,success,,0.56,2025-12-15 14:22:04.962020,2025-10-31 10:48:34,Flora And Fauna,Survey,"Yuba, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Yuba_Unsupervised.jpeg,Yuba_Unsupervised.jpeg,.jpeg,success,,0.453,2025-12-15 14:22:04.984377,2025-10-31 10:48:34,Flora And Fauna,Survey,"Yuba, Unsupervised",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Terrain\ClippedSlopeN27E34_3857.tif,ClippedSlopeN27E34_3857.tif,.tif,failed,'TiffImageFile' object has no attribute '_getexif',13.378,2025-12-15 14:22:09.769189,2025-10-31 10:48:34,Flora And Fauna,Survey,"ClippedSlopeN27E34, 3857",TIFF,F,2289.0,1531.0,1.4951,,,,,
